ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
BLGBLUE-XL	BLUE LIGHTNING XLARGE 12_ BLUE LATEX GLOVES	10.93	16.82	20.10			1	896800001527	2.70	9.75	5.50	3.75	MAL
BLGK321-L	INTOUCH LARGE WHITE LATEX GLOVES	8.05	12.38	13.50			1	813601010435	1.80	9.50	4.75	2.75	MAL
BLGK321-M	INTOUCH MEDIUM WHITE LATEX GLOVES	8.05	12.38	13.50			1	813601010442	1.60	9.50	4.75	2.75	MAL
BLGK321-S	INTOUCH SMALL WHITE LATEX GLOVES	8.05	12.38	13.50			1	813601010428	1.30	9.50	4.75	2.75	MAL
BLGK321-XL	INTOUCH XLARGE WHITE LATEX GLOVES	8.05	12.38	13.50			1	813601010466	1.90	9.50	4.75	2.75	MAL
BLGLS-L	LIGHTNING STORM LARGE 12_ PF BLUE NITRILE GLOVES	8.37	12.04	12.04			1	813601010671	1.00	1.00	1.00	1.00	MAL
BLGLS-M	LIGHTNING STORM MEDIUM 12_ PF BLUE NITRILE GLOVES	8.37	12.04	12.04			1	813601010664	1.25	10.00	4.75	3.00	MAL
BLGLS-XL	LIGHTNING STORM XLARGE 12_ PF BLUE NITRILE GLOVES	8.37	12.04	12.04			1	813601010688	1.50	9.75	4.80	2.90	MAL
BLGMEBN-L	MARKET EDITION LARGE BLACK PF NITRILE GLOVES	5.51	8.48	12.04			1	813601011050	1.10	9.00	5.00	2.50	MAL
BLGMEBN-M	MARKET EDITION MEDIUM BLACK PF NITRILE GLOVES	5.51	8.48	12.04			1	813601011067	1.00	9.00	4.50	2.50	MAL
BLGMEBN-S	MARKET EDITION SMALL BLACK PF NITRILE GLOVES	5.51	8.48	12.04			1	813601011074	0.85	9.00	5.00	2.50	MAL
BLGMEBN-XL	MARKET EDITION XLARGE BLACK PF NITRILE GLOVES	5.51	8.48	12.04			1	813601011043	1.25	9.00	5.00	2.75	MAL
BLGMEL-L	MARKET EDITION LARGE PF LATEX GLOVES	5.51	8.48	9.50			1		0.00	0	0	0	MAL
BLGMEL-M	MARKET EDITION MEDIUM PF LATEX GLOVES	5.51	8.48	9.50			1		0.00	0	0	0	MAL
BLGMEL-S	MARKET EDITION SMALL PF LATEX GLOVES	5.51	8.48	9.50			1		0.00	0	0	0	MAL
BLGMEL-XL	MARKET EDITION XLARGE PF LATEX GLOVES	5.51	8.48	9.50			1	813601010954	1.45	8.50	5.00	2.75	MAL
BLGMEL-XS	MARKET EDITION XSMALL PF LATEX GLOVES	5.51	8.48	9.50			1		0.00	0	0	0	MAL
BLGN331-L	INTOUCH LARGE PF VINYL GLOVES	3.40	5.23	6.40			1	813601010022	1.60	9.13	4.81	3.88	CHN
BLGN331-M	INTOUCH MEDIUM PF VINYL GLOVES	3.40	5.23	6.40			1	813601010015	1.50	9.13	4.81	3.88	CHN
BLGN331-S	INTOUCH SMALL PF VINYL GLOVES	3.40	5.23	6.40			1	813601010008	1.50	9.13	4.81	3.88	CHN
BLGN331-XL	INTOUCH XLARGE PF VINYL GLOVES	3.40	5.23	6.40			1	813601010039	1.70	9.13	4.81	3.88	CHN
BLGOR-L	ORANGE LIGHTNING LARGE ORANGE NITRILE GLOVES	10.93	16.82	18.27			1	813601010770	1.85	9.50	5.00	3.00	CHN
BLGOR-M	ORANGE LIGHTNING MEDIUM ORANGE NITRILE GLOVES	10.93	16.82	18.27			1	813601010763	1.70	9.50	5.00	3.00	CHN
BLGOR-S	ORANGE LIGHTNING SMALL ORANGE NITRILE GLOVES	10.93	16.82	17.03			1	813601010756	1.50	9.50	5.00	3.00	CHN
BLGOR-XL	ORANGE LIGHTNING XLARGE ORANGE NITRILE GLOVES	10.93	16.82	18.27			1	813601010787	1.85	9.50	5.00	3.00	CHN
BLGOR-XXL	ORANGE LIGHTNING XXLARGE ORANGE NITRILE GLOVES	10.93	16.82	18.27			1	813601010794	2.10	9.50	5.00	3.00	CHN
BLGQ311-L	INTOUCH LARGE BLUE NITRILE GLOVES	7.54	11.60	12.00			1	896800001879	1.45	10.00	5.50	3.00	MAL
BLGQ311-M	INTOUCH MEDIUM BLUE NITRILE GLOVES	7.54	11.60	12.00			1	896800001886	1.40	10.00	5.75	3.00	MAL
BLGQ311-S	INTOUCH SMALL BLUE NITRILE GLOVES	7.54	11.60	12.00			1	896800001893	1.28	9.50	4.75	3.00	MAL
BLGQ311-XL	INTOUCH XLARGE BLUE NITRILE GLOVES	7.54	11.60	12.00			1	896800001862	1.75	10.00	5.50	3.00	MAL
BLGWL-L	WHITE LIGHTNING LARGE WHITE LATEX GLOVES	10.08	15.51	17.97			1	896800001077	2.30	9.50	5.00	3.00	CHN
BLGWL-M	WHITE LIGHTNING MEDIUM WHITE LATEX GLOVES	10.08	15.51	17.97			1	896800001060	1.90	9.88	4.94	3.50	CHN
BLGWL-S	"WHITE LIGHTNING WHITE LATEX GLOVES, SMALL"	10.08	15.51	17.68			1	896800001053	1.80	9.75	5.00	3.50	CHN
BLGWL-XL	WHITE LIGHTNING XLARGE WHITE LATEX GLOVES	10.08	15.51	17.97			1	896800001084	2.35	9.50	5.00	3.00	CHN
BRMBC10MM	HONE BRAKE CYLINDER FLEX 10MM 180 GRIT	10.72	14.29	14.29			1		0.02	13.70	4.40	0.40	0
