ISN Part Number	Description	Cost	Special Retail	Regular Retail	Catalog Page	TW Page	UOM	UPC Code	Weight	Length	Width	Height	Country of Origin
KDT2897-84	BEARING & WASHER FOR KDT2897	7.79	11.98	15.71			1	82171318641	0.10	2.50	0.60	0.40	USA
KDT2897-87	PULLER PIN FOR GM 3.1 FOR KDT2897	4.71	7.25	9.40			1	82171318672	0.02	2.60	0.20	0.10	USA
KDT2897-88	SCREW INSTALLER FOR GM 3.1 LETTER (K)	4.71	7.25	9.40			1	82171318689	0.05	3.80	0.90	0.20	USA
KDT2897-89	SCREW INSTALLER FOR FORD 4.6 LETTER (M)	4.71	7.25	9.40			1	82171318696	0.05	2.70	1.00	0.10	USA
KDT2897-90	SCREW INSTALLER FOR OTHERS LETTER (N)	4.71	7.25	9.40			1	82171318702	0.01	2.50	1.60	0.20	USA
KDT30598	CHUCK JACOBS 1/2IN. & KEY MULTI-CRAFT	15.70	24.15	35.92			1	95456305984	0.80	6.70	3.70	0.90	CHN
KDT30602	CHUCK JACOBS 1/2IN. & KEY MULTI-CRAFT	15.70	24.15	35.92			1	95456306028	0.60	8.60	4.80	2.20	CHN
KDT3082	WR 3-1/2 X 3-7/8 OIL FILT STRAP	6.52	10.03	12.78			1	82171030826	0.80	10.10	5.30	1.10	TWN
KDT3083	WR 2-7/8 X 3-1/4 OIL FILT STRAP	6.52	10.03	12.78			1	82171030833	0.80	9.90	5.00	1.30	TWN
KDT30827	JACOBS KEY AND ACCESSORIES	1.88	2.89	3.93			1	95456308275	0.10	4.00	3.50	1.00	TWN
KDT80471	BITSOC T10 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804717	0.01	3.35	1.46	0.39	TWN
KDT80472	BITSOC T15 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804724	0.01	3.35	1.46	0.39	TWN
KDT80473	BITSOC T20 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804731	0.01	3.35	1.46	0.39	TWN
KDT80474	SOC T25 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804748	0.01	3.35	1.46	0.39	TWN
KDT80475	BITSOC T27 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804755	0.01	3.35	1.46	0.39	TWN
KDT80476	BITSOC T30 IMP TAMPRF TRX	1.88	2.89	3.69			1	99575804762	0.01	3.35	1.46	0.39	TWN
KDT3484	SNAP RING PLIERS	9.87	15.18	20.68			1	82171034848	0.20	5.80	1.40	0.60	TWN
KDT3485	SNAP RING PLIERS 90 D TIP ANGLE	9.87	15.18	20.68			1	82171034855	2.00	9.00	3.00	2.00	TWN
KDT3486	SNAP RING PLIER STRAIGHT	9.87	15.18	20.68			1	82171034862	1.00	6.00	2.00	1.00	TWN
KDT3487	CONV.SNAP RING 45 DEG.	11.47	17.65	22.30			1	82171034879	0.20	6.00	1.50	0.70	TWN
KDT3488	SNAP RING PLIER 90%	11.47	17.65	22.30			1	82171034886	0.50	11.00	2.20	2.20	TWN
KDT3489	FIXED TIP SNAP-RING PLIERS	11.47	17.65	22.30			1	82171034893	0.30	9.10	4.50	0.30	TWN
KDT3490	SNAP RING PLIER 45 DEG	12.64	19.45	24.04			1	82171034909	0.02	8.00	3.00	0.50	TWN
KDT3491	SNAP RING PLIER	12.64	19.45	24.04			1	82171034916	0.30	7.50	2.70	1.00	TWN
KDT3493	SNAP RING PLIERS 45 OFF SET	16.48	25.35	32.67			1	82171034930	0.50	11.00	2.20	2.20	TWN
KDT3494	FIXED SNAP RING PLIER	16.48	25.35	32.67			1	82171034947	0.28	9.00	2.10	1.00	TWN
KDT3679-71	ADAPTER 14MM X 1.5	4.17	6.42	7.86			1	82171679711	1.00	1.00	1.00	1.00	USA
KDT3679-74	ADAPTER 3/4 X 16	4.17	6.42	7.86			1	82171679742	0.50	2.00	2.00	2.00	USA
KDT3679-76	ADAPTER 7/16X 20	4.68	7.20	8.14			1	82171679766	0.10	0.50	0.25	0.25	USA
KDT3679-78	ADAPTER 12MM X 1.5	4.68	7.20	8.14			1	82171679780	5.00	2.00	1.00	2.00	USA
PRVURC061201	COUPLER RED BUTTON 1/4_ FEM USE W/MIL783 PLUG	15.07	21.53	21.53			1	3660058130639	0.25	2.80	0.90	0.90	FRA
KDT368076	SOC 14MM 6PT	3.07	4.72	6.03			1	82171680762	0.06	1.00	0.75	0.75	TWN
KDT368077	SOC 15MM 3/8D IMP 6PT	3.07	4.72	6.03			1	82171680779	0.10	0.75	0.75	1.00	TWN
KDT368078	REPL SKT 16MM                 	3.07	4.72	6.03			1	82171680786	0.05	1.02	0.83	0.83	0
KDT368079	SOC 17MM	3.07	4.72	6.03			1	82171680793	0.50	3.00	3.00	2.00	0
KDT368080	SOC 18MM 3/8D 6PT	3.07	4.72	6.03			1	82171680809	0.05	1.00	1.00	0.75	0
KDT368081	REPL CROWFT WR 13MM           	3.07	4.72	6.03			1		0.10	1.44	1.06	0.44	0
KDT368084	SOC 19MM 6PT	3.60	5.54	6.40			1	82171680847	0.10	1.00	1.00	1.00	0
KDT368085	SOC 13MM 3/8D 6PT	3.60	5.54	6.40			1	82171080852	0.10	1.00	0.60	0.60	0
KDT3860	WR 65MM X 67MM OIL FILT END CP 14PT	5.94	9.14	11.74			1	82171038600	0.15	6.00	5.00	1.30	USA
KDT3861	WR 74MM X 76MM OIL FILT END CP 15PT	5.94	9.14	11.74			1	82171038617	0.25	3.50	2.50	2.00	USA
KDT3862	WR 76MM OIL FILT END CP	4.93	7.58	11.03			1	82171038624	0.25	4.00	3.00	3.00	USA
KDT3863	WR 93MM OIL FILT END CP	4.93	7.58	11.03			1	82171038631	0.20	4.50	3.50	3.50	USA
KDT3873	GEARWRENCH SOC 14MM 3/8D 6PT GRN	9.20	14.15	19.27			1	82171387364	0.15	4.80	3.50	2.00	TWN
KDT3874	GEARWRENCH SOC 15MM 3/8D 6PT PURP	9.20	14.15	19.27			1	82171387494	0.15	4.70	3.30	1.50	TWN
KDT3875	GEARWRENCH SOC 16MM 3/8D 6PT GLD	9.20	14.15	19.27			1	82171387548	0.20	4.00	2.00	1.00	TWN
KDT3876	SOC 17MM BLK	9.20	14.15	19.27			1	82171387661	0.15	4.70	3.40	1.60	TWN
KDT3877	GEARWRENCH SOC 19MM 3/8D 6PT BL	9.20	14.15	19.27			1	82171387760	0.20	3.90	3.10	0.10	TWN
KDT3883	GEARWRENCH GW MED TAP ADAPTER	14.37	22.11	25.49			1	82171388361	0.74	7.00	4.00	1.00	TWN
KDT3884	GEARWRENCH GW DIE ADAPTER	14.37	22.11	25.49			1	82171388446	0.14	4.50	3.50	2.00	TWN
KDT3885	GEARWRENCH TAP & DIE SET SAE 40 PCS	103.09	151.60	212.45			1	82171388514	4.70	11.40	9.00	3.20	TWN
KDT3886	GEARWRENCH TAP & DIE SET METRIC 40PCS	103.09	151.60	212.45			1	82171388620	4.55	12.00	7.00	3.00	TWN
KDT388701N	TAP 4-40 TAPER	2.03	3.12	4.55			1	99575388705	0.05	1.00	0.50	0.50	TWN
KDT388702N	TAP 6-32 TAPER	2.03	3.12	4.55			1	99575388729	0.01	3.00	0.50	0.50	TWN
KDT388703N	TAP 8-32 TAPER	2.03	3.12	4.55			1	99575388736	1.00	1.00	1.00	1.00	TWN
KDT388706N	TAP 12-24 TAPER	2.03	3.12	4.55			1	99575388767	0.00	0	0	0	TWN
KDT388704N	TAP 10-24 TAPER	2.22	3.42	4.98			1	99575388743	0.02	4.00	2.50	0.25	TWN
KDT388705N	TAP 10-32 TAPER	2.22	3.42	4.98			1	99575388750	0.05	3.50	0.60	0.60	TWN
KDT388708N	TAP 1/4-28 TAPER	1.78	2.74	4.02			1	99575388781	0.05	5.00	3.00	3.00	TWN
KDT388719N	TAP 4 X 0.70 TAPER	1.78	2.74	4.02			1	99575387197	0.02	3.25	0.50	0.50	TWN
KDT388720N	TAP 4 X 0.75 TAPER	1.78	2.74	4.02			1	99575387203	0.05	1.00	0.50	0.50	TWN
KDT84304N	3/8_ DRIVE 6 POINT  9/16_ STANDARD IMPACT SOCKET	1.78	2.74	4.00			1	99575000096	1.00	2.00	2.00	1.00	CHN
KDT388710N	TAP 5/16-24 TAPER	1.96	3.02	4.38			1	99575388712	0.05	4.50	3.00	0.50	TWN
KDT388711N	TAP 3/8-16 PLUG	1.96	3.02	4.38			1	99575388118	0.50	2.50	0.30	0.30	TWN
KDT388713N	TAP 7/16-14 PLUG	2.66	4.09	5.90			1	99575388132	0.10	3.00	0.25	0.25	TWN
KDT388734N	TAP 1/8-27 NPT	2.66	4.09	5.90			1	99575087349	0.50	1.00	1.00	1.00	TWN
KDT388714N	TAP 7/16-20 PLUG	3.28	5.05	7.33			1	99575388149	5.00	0.50	0.20	3.00	TWN
KDT388715N	TAP 1/2-13 PLUG	3.28	5.05	7.33			1	99575388156	1.00	1.00	1.00	1.00	TWN
KDT388716N	TAP 1/2-20 PLUG	3.28	5.05	7.33			1	99575887161	0.10	4.00	0.50	0.50	TWN
KDT388721N	TAP 5 X 0.80 TAPER	1.95	3.00	4.36			1	99575387210	0.02	4.00	0.50	0.50	TWN
KDT388722N	TAP 5 X 0.90 TAPER	1.95	3.00	4.36			1	99575387227	0.02	3.50	0.50	0.50	TWN
KDT388725N	TAP 8 X 1.25 PLUG	3.24	4.98	7.26			1	99575387258	0.05	1.00	0.50	0.50	TWN
KDT388726N	TAP 9 X 1.00 PLUG	3.24	4.98	7.26			1	99575387265	0.00	0	0	0	TWN
KDT388727N	TAP 9 X 1.25 PLUG	3.24	4.98	7.26			1	99575387272	0.00	0	0	0	TWN
KDT388729N	TAP 10 X 1.50 PLUG	3.43	5.28	7.67			1	99575387296	0.20	3.00	1.00	1.00	TWN
KDT388769N	TAP 1/4-19 BSP	3.43	5.28	7.72			1	99575087691	0.00	0	0	0	TWN
KDT388735N	HEX DIE 4-40	2.32	3.57	5.19			1	99575087356	0.00	0	0	0	TWN
KDT388736N	HEX DIE 6-32	2.32	3.57	5.19			1	99575087363	0.00	0	0	0	TWN
KDT388737N	HEX DIE 8-32	2.32	3.57	5.19			1	99575087370	0.00	0	0	0	TWN
KDT388738N	HEX DIE 10-24	2.32	3.57	5.19			1	99575087387	0.00	0	0	0	TWN
KDT388739N	HEX DIE 10-32	2.32	3.57	5.19			1	99575087394	0.00	0	0	0	TWN
KDT388740N	HEX DIE 12-24	2.32	3.57	5.19			1	99575087400	0.00	0	0	0	TWN
KDT388741N	HEX DIE 1/4-20	2.32	3.57	5.19			1	99575087417	0.00	0	0	0	TWN
KDT388742N	HEX DIE 1/4-28	2.32	3.57	5.19			1	99575087424	0.04	1.50	1.50	0.65	TWN
KDT388743N	HEX DIE 5/16-18	2.32	3.57	5.19			1	99575087431	0.05	1.25	1.25	0.50	TWN
KDT388744N	HEX DIE 5/16-24	2.32	3.57	5.19			1	99575087448	0.05	3.00	2.00	1.00	TWN
KDT388751N	HEX DIE 3 X 0.50	2.32	3.57	5.19			1	99575087516	0.00	0	0	0	TWN
KDT388752N	HEX DIE 3 X 0.60	2.32	3.57	5.19			1	99575087523	0.00	0	0	0	TWN
KDT388753N	HEX DIE 4 X 0.70	2.32	3.57	5.19			1	99575087530	0.00	0	0	0	TWN
KDT388754N	HEX DIE 4 X 0.75	2.32	3.57	5.19			1	99575087547	0.00	0	0	0	TWN
KDT388755N	HEX DIE 5 X 0.80	2.32	3.57	5.19			1	99575087554	0.00	0	0	0	TWN
KDT388756N	HEX DIE 5 X 0.90	2.32	3.57	5.19			1	99575087561	0.00	0	0	0	TWN
KDT388757N	HEX DIE 6 X 1.00	2.32	3.57	5.19			1	99575087578	0.00	0	0	0	TWN
KDT388758N	HEX DIE 7 X 1.00	2.32	3.57	5.19			1	99575087585	0.00	0	0	0	TWN
KDT388759N	HEX DIE 8 X 1.25	2.32	3.57	5.19			1	99575087592	1.00	1.00	2.00	1.00	TWN
KDT388760N	HEX DIE 9 X 1.00	2.32	3.57	5.19			1	99575087608	0.00	0	0	0	TWN
KDT388761N	HEX DIE 9 X 1.25	2.32	3.57	5.19			1	99575087615	0.00	0	0	0	TWN
KDT388762N	HEX DIE 10 X 1.25	2.32	3.57	5.19			1	99575087622	0.00	0	0	0	TWN
KDT388763N	HEX DIE 10 X 1.50	2.32	3.57	5.19			1	99575087639	0.30	1.00	1.00	0.50	TWN
KDT388764N	HEX DIE 11 X 1.50	2.32	3.57	5.19			1	99575087646	0.00	0	0	0	TWN
KDT388765N	HEX DIE 12 X 1.50	2.32	3.57	5.19			1	99575087653	1.50	1.50	1.50	1.50	TWN
KDT388766N	HEX DIE 12 X 1.75	2.32	3.57	5.19			1	99575087660	0.25	1.00	1.00	1.00	TWN
KDT84146	1/4_ DRIVE DEEP IMPACT SOCKET 11MM	2.32	3.57	5.19			1	99575841460	0.15	5.00	3.00	1.00	0
KDT84525N	1/2_ DRIVE 6 POINT 13MM STANDARD IMPACT SOCKET	2.32	3.57	5.19			1	99575000812	0.20	1.50	1.00	1.00	CHN
KDT84526N	1/2_ DRIVE 6 POINT 14MM STANDARD IMPACT SOCKET	2.32	3.57	5.19			1	99575000829	0.20	1.50	1.00	1.00	CHN
KDT388745N	HEX DIE 3/8-16	2.95	4.54	6.58			1		1.00	1.00	1.00	1.00	TWN
KDT388746N	HEX DIE 3/8-24	2.95	4.54	6.58			1	99575087462	0.05	4.00	3.00	1.00	TWN
KDT388747N	HEX DIE 7/16-14	2.95	4.54	6.58			1	99575087479	0.00	0	0	0	TWN
KDT388748N	HEX DIE 7/16-20	2.95	4.54	6.58			1	99575087486	0.05	4.00	3.00	1.00	TWN
KDT388749N	HEX DIE 1/2-13	2.95	4.54	6.58			1	99575087493	0.10	1.00	1.00	0.25	TWN
KDT388750N	HEX DIE 1/2-20	2.95	4.54	6.58			1	99575087509	0.00	0	0	0	TWN
KDT388767N	HEX DIE 1/8-27 NPT	2.89	4.45	6.44			1	99575087677	0.30	1.00	1.00	1.00	TWN
KDT388768N	HEX DIE 1/8-28 BSP	2.89	4.45	6.44			1	99575087684	0.00	0	0	0	TWN
KDT3941	WR 64MM X 76MM OIL FILT STRAP SML	12.84	19.75	25.89			1	82171394102	0.85	12.00	6.50	1.00	CHN
KDT3942	WR 73MM X 83MM OIL FILT STRAP MED	12.84	19.75	25.89			1	82171394201	0.86	12.00	6.50	1.00	CHN
KDT412402	SCREWDRIVER BIT #2 PHILLIPS 5/16IN. HEX	2.29	3.52	4.07			1	82171412424	0.15	2.50	0.50	0.50	USA
KDT412403	SCREWDRIVER BIT #3 PHILLIPS 5/16IN. HEX	2.29	3.52	4.07			1	82171412400	0.15	2.50	0.50	0.50	USA
KDT41761	6MM STUD REMOVER SOCKET	11.16	17.17	21.15			1	82171417610	0.25	1.00	1.00	1.90	TWN
KDT41762	8MM STUD REMOVER	11.16	17.17	21.15			1	82171417627	0.25	2.00	1.00	1.00	USA
KDT41763	10MM STUD REMOVER	11.16	17.17	21.15			1	82171417634	1.00	3.00	2.00	1.00	TWN
KDT41764	12MM STUD REMOVER SOCKET	11.16	17.17	21.15			1	82171417641	0.30	2.00	1.00	1.00	TWN
KDT41765	STUD REMOVERSOCKET 3/8	11.16	17.17	21.15			1	82171417658	0.30	2.00	1.00	1.00	TWN
KDT41766	7/16 STUD REMOVER SOCKET	11.16	17.17	21.15			1	664766479588	0.30	2.00	1.00	1.00	TWN
KDT41767	5/16 FOR SET 41760	11.16	17.17	21.15			1	82171417672	0.25	5.00	3.00	2.00	TWN
KDT41768	1/4_ STUD REMOVER SOCKET	11.16	17.17	21.15			1	82171417689	0.23	1.75	1.00	1.00	TWN
KDT41796	BUSHING ADAPTER	3.11	4.78	5.06			1	82171417962	0.20	1.25	1.25	0.75	0
KDT445	SNAP RING PLIERS INTERNAL 3/8 TO 1-3/4IN. DIA	12.06	18.55	22.30			1	82171004452	0.45	7.50	3.20	0.80	TWN
KDT446	SNAP RING PLIERS EXTERNAL 1/4 OT 1-7/16IN. DIA	12.06	18.55	22.30			1	82171004469	0.35	7.20	1.90	0.40	USA
KDT80005	GEARWRENCH #2 X 1-1/2 PHILLIPS	6.78	10.43	11.19			1	99575800054	0.12	6.51	1.65	1.26	TWN
KDT80012	1/4 X 1-1/2_	6.78	10.43	11.19			1	99575800122	0.12	6.51	1.65	1.26	TWN
KDT80018	GEARWRENCH 3/16 X 6 W/CABINET TIP	6.78	10.43	11.19			1	99575800184	0.16	12.45	1.65	1.18	TWN
KDT80024	T10 3/16 X 4	6.19	9.52	10.94			1	99575800245	0.16	10.36	1.65	1.18	TWN
KDT80025	T15 3/16 X 4	6.19	9.52	10.94			1	99575800252	0.16	10.36	1.65	1.18	TWN
KDT80026	T20 3/16 X 4	6.19	9.52	10.94			1	99575800269	0.16	10.36	1.65	1.18	TWN
KDT80027	GEARWRENCH T25 1/4 X 4	7.21	11.09	12.54			1	99575800276	0.22	10.84	1.65	1.26	TWN
KDT80028	T27 1/4 X 4	7.21	11.09	12.54			1	99575800283	0.22	10.84	1.65	1.26	TWN
KDT80029	T30 1/4 X 4	7.21	11.09	12.54			1	99575800290	0.22	10.84	1.65	1.26	TWN
KDT80031	GEARWRENCH #00 X 60MM	4.02	6.18	6.72			1	99575800313	0.06	8.29	1.65	0.79	TWN
KDT80032	GEARWRENCH #0 X 60MM	4.02	6.18	6.72			1	99575800320	0.10	6.00	0.50	0.50	TWN
KDT80033	GEARWRENCH #1 X 60MM	4.02	6.18	6.72			1	99575800337	0.06	8.28	1.65	0.79	TWN
KDT80034	GEARWRENCH 1.5MM X 60MM	4.02	6.18	6.72			1	99575800344	0.06	8.28	1.65	0.79	TWN
KDT80035	2.0MM X 60MM	4.02	6.18	6.72			1	99575800351	0.06	8.28	1.65	0.79	TWN
KDT80036	2.5MM X 60MM	4.02	6.18	6.72			1	99575800368	0.06	8.28	1.65	0.79	TWN
KDT80039	T7 X 60MM SCRDR	3.52	5.42	6.86			1	99575800399	0.05	6.00	0.50	0.50	TWN
KDT80040	T8 X 60MM	3.52	5.42	6.86			1	99575800405	0.06	8.27	1.65	0.79	TWN
KDT80041	T9 X 60MM SCRDR               	3.52	5.42	6.86			1	99575800412	0.06	8.27	1.65	0.79	0
KDT80042	T10 X 60MM SCRDR	3.52	5.42	6.86			1	99575804205	0.06	8.27	1.65	0.79	TWN
KDT80086	T-15 LONG TORX SCREWDRIVER 18	10.01	15.40	19.54			1	99575800863	0.31	24.50	2.13	1.25	0
KDT80087	T-20 LONG TORX SCREWDRIVER 18	10.01	15.40	19.57			1	99575800870	1.00	25.00	2.20	1.70	0
KDT80088	T-25 LONG TORX SCREWDRIVER 18	10.01	15.40	19.54			1	99575800887	0.04	25.00	2.00	2.00	0
KDT80089	#0 X 8.25_ SQ SD DUAL MATERIAL	5.51	8.48	12.22			1	99575800894	0.21	10.50	2.15	1.25	TWN
KDT80090	#1 SQUARE DR SCREWDRV	5.51	8.48	12.22			1	99575800900	0.25	11.00	2.00	1.50	TWN
KDT80091	#2 SQUARE DRIVER	5.51	8.48	12.22			1	99575800917	0.25	11.30	4.30	1.50	TWN
KDT80092	# 3 SQUARE DR SCREWDRV	5.51	8.48	12.22			1	99575800924	0.40	12.50	2.00	2.00	TWN
KDT80104	1/4_ DR 6 PT STD SAE SOCKET 5/32_	2.34	3.60	3.97			1	99575801044	0.02	0.20	0.10	0.30	0
KDT80105	SOC 3/16 1/4D 6PT	2.34	3.60	3.97			1	99575801051	0.02	3.49	1.78	0.46	CHN
KDT80106	SOC 7/32 1/4D 6PT	2.34	3.60	3.97			1	99575810060	0.02	3.49	1.77	0.46	CHN
KDT80107	SOC 1/4 1/4D 6PT	2.34	3.60	3.97			1	99575801075	0.02	3.49	1.77	0.46	CHN
KDT80108	SOC 9/32 1/4D 6PT	2.34	3.60	3.97			1	99575801082	0.02	3.49	1.77	0.46	CHN
KDT80109	SOC 5/16 1/4D 6PT	2.34	3.60	3.97			1	99575801099	0.02	3.49	1.77	0.46	TWN
KDT80110	SOC 11/32 1/4D 6PT	2.34	3.60	3.97			1	99575801105	0.04	3.49	1.77	0.49	TWN
KDT80111	SOC 3/8 1/4D 6PT	2.34	3.60	3.97			1	99575801112	0.04	3.49	1.77	0.54	TWN
KDT80112	SOC 7/16 1/4D 6PT	2.34	3.60	3.97			1	99575801129	0.04	3.49	1.77	0.62	TWN
KDT80113	SOC 1/2 1/4D 6PT	2.34	3.60	3.97			1	99575801136	0.07	3.49	1.77	0.68	CHN
KDT80114	SOC 9/16 1/4D 6PT	2.34	3.60	3.97			1	99575801143	0.07	3.49	1.77	0.75	CHN
KDT80125	SOC 4MM 1/4D 6PT	2.34	3.60	3.97			1	99575801259	0.02	3.48	1.77	0.46	CHN
KDT80126	SOC 5MM 1/4D 6PT	2.34	3.60	3.97			1	99575801266	0.02	3.48	1.77	0.46	CHN
KDT80127	SOC 5.5 MM 1/4D 6PT	2.34	3.60	3.97			1	99575801273	0.02	3.48	1.77	0.46	CHN
KDT80128	SOC 6MM 1/4D 6PT	2.34	3.60	3.97			1	99575801280	0.02	3.48	1.77	0.46	CHN
KDT80129	SOC 7MM 1/4D 6PT	2.34	3.60	3.97			1	99575801297	0.02	3.48	1.77	0.46	CHN
KDT80130	SOC 8MM 1/4D 6PT	2.34	3.60	3.97			1	99575801303	0.02	3.48	1.77	0.46	CHN
KDT80131	SOC 9MM 1/4D 6PT	2.34	3.60	3.97			1	99575801310	0.02	3.48	1.77	0.52	CHN
KDT80132	SOC 10MM 1/4D 6PT	2.34	3.60	3.97			1	99575801327	0.04	3.48	1.77	0.56	CHN
KDT80133	SOC 11MM 1/4D 6PT	2.34	3.60	3.97			1	99575801334	0.04	3.48	1.77	0.62	CHN
KDT80134	SOC 12MM 1/4D 6PT	2.34	3.60	3.97			1	99575801341	0.04	3.48	1.77	0.66	TWN
KDT80135	SOC 13MM 1/4D 6PT	2.34	3.60	3.97			1	99575801358	0.07	3.48	1.77	0.70	CHN
KDT80136	SOC 14MM 1/4D 6PT	2.34	3.60	3.97			1	99575801365	0.07	3.48	1.77	0.77	CHN
KDT80137	SOC 15MM 1/4D 6PT	2.34	3.60	3.97			1	99575801372	0.07	3.48	1.77	0.79	CHN
KDT80197	SOC 4MM 1/4D 12PT	2.34	3.60	3.97			1	99575801976	0.05	0.80	0.25	0.25	TWN
KDT80198	SOC 5MM 1/4D 12PT	2.34	3.60	3.97			1	99575801983	0.05	3.50	1.75	0.50	CHN
KDT80199	SOC 5.5 MM 1/4D 12PT	2.34	3.60	3.97			1	99575801990	0.02	0.96	0.46	0.46	0
KDT80200	SOC 6MM 1/4D 12PT	2.34	3.60	3.97			1	99575802003	0.32	1.00	1.00	1.00	CHN
KDT80201	SOC 7MM 1/4D 12PT	2.34	3.60	3.97			1	99575802010	1.00	1.00	1.00	1.00	CHN
KDT80202	SOC 8MM 1/4D 12PT	2.34	3.60	3.97			1	99575802027	1.00	3.00	4.00	1.00	CHN
KDT80203	SOC 9MM 1/4D 12PT	2.34	3.60	3.97			1	99575802034	0.22	0.30	0.30	0.30	CHN
KDT80204	SOC 10MM 1/4D 12PT	2.34	3.60	3.97			1	99575802041	0.02	1.00	1.00	1.00	CHN
KDT80205	SOC 11MM 1/4D 12PT	2.34	3.60	3.97			1	99575802058	0.06	3.75	2.00	0.75	TWN
KDT80206	SOC 12MM 1/4D 12PT	2.34	3.60	3.97			1	99575802065	0.10	3.50	1.75	0.23	CHN
KDT80207	SOC 13MM 1/4D 12PT	2.34	3.60	3.97			1	99575802072	0.06	0.96	0.70	0.70	CHN
KDT80208	SOC 14MM 1/4D 12PT	2.34	3.60	3.97			1	99575802089	0.06	0.96	0.77	0.77	CHN
KDT80209	SOC 15 MM 1/4D 12PT	2.34	3.60	3.97			1	99575802096	0.07	3.00	2.00	1.00	CHN
KDT80210	SOC 3/16 1/4D 12PT	2.34	3.60	3.97			1	99575802102	0.03	3.75	2.00	0.50	CHN
KDT80211	SOC 7/32 1/4D 12PT	2.34	3.60	3.97			1	99575802119	0.03	3.75	2.00	0.50	CHN
KDT80212	SOC 1/4 1/4D 12PT	2.34	3.60	3.97			1	99575802126	0.04	3.75	2.00	0.50	CHN
KDT80213	SOC 9/32 1/4D 12PT	2.34	3.60	3.97			1	99575802133	0.04	3.75	2.00	0.50	CHN
KDT80214	SOC 5/16 1/4D 12PT	2.34	3.60	3.97			1	99575802140	0.50	1.00	1.00	0.50	CHN
KDT80215	SOC 11/32 1/4D 12PT	2.34	3.60	3.97			1	99575802157	0.12	3.00	2.00	1.00	TWN
KDT80216	SOC 3/8 1/4D 12PT	2.34	3.60	3.97			1	99575802164	0.05	3.50	1.75	0.50	CHN
KDT80217	SOC 7/16 1/4D 12PT	2.34	3.60	3.97			1	99575802171	0.06	3.50	1.75	0.50	CHN
KDT80218	SOC 1/2 1/4D 12PT	2.34	3.60	3.97			1	99575802188	0.07	3.50	1.75	0.75	CHN
KDT80219	1/4_DR 12PT STD SKT 9/16_	2.34	3.60	3.97			1	99575802195	0.06	0.96	0.77	0.77	CHN
KDT80290	1/4_ DR 12 PT STD SAE SOCKET 5/32_	2.34	3.60	3.97			1	99575802904	1.00	1.00	1.00	1.00	CHN
KDT80115	SOC 3/16 1/4D 6PT DP	3.23	4.97	5.92			1	99575801150	0.05	4.46	1.77	0.47	CHN
KDT80116	SOC 7/32 1/4D 6PT DP	3.23	4.97	5.92			1	99575801167	0.07	4.46	1.77	0.47	CHN
KDT80117	SOC 1/4 1/4D 6PT DP	3.23	4.97	5.92			1	99575801174	0.07	4.46	1.77	0.47	CHN
KDT80118	SOC 9/32 1/4D 6PT DP	3.23	4.97	5.92			1	99575801181	0.07	4.46	1.77	0.47	CHN
KDT80119	SOC 5/16 1/4D 6PT DP	3.23	4.97	5.92			1	99575801198	0.07	4.45	1.77	0.47	CHN
KDT80120	SOC 11/32 1/4D 6PT DP	3.23	4.97	5.92			1	99575801204	0.09	4.45	1.77	0.52	CHN
KDT80121	SOC 3/8 1/4D 6PT DP	3.23	4.97	5.92			1	99575801211	0.11	4.45	1.77	0.57	CHN
KDT80122	SOC 7/16 1/4D 6PT DP	3.23	4.97	5.92			1	99575801228	0.11	4.45	1.77	0.63	CHN
KDT80123	SOC 1/2 1/4D 6PT DP	3.23	4.97	5.92			1	99575801235	0.13	4.45	1.77	0.70	CHN
KDT80124	SOC 9/16 1/4D 6PT DP	3.23	4.97	5.92			1	99575801242	0.15	4.45	1.77	0.79	TWN
KDT80138	SOC 4MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801389	0.04	4.45	1.77	0.47	CHN
KDT80139	SOC 5MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801396	0.04	4.45	1.77	0.47	CHN
KDT80140	SOC 5.5 MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801402	0.07	4.45	1.77	0.47	CHN
KDT80141	SOC 6MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801419	0.07	4.45	1.77	0.47	CHN
KDT80142	SOC 7MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801426	0.07	4.45	1.77	0.47	CHN
KDT80143	SOC 8MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801433	0.07	4.45	1.77	0.47	CHN
KDT80144	SOC 9MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801440	0.09	4.45	1.77	0.52	CHN
KDT80145	SOC 10MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801457	0.11	4.45	1.77	0.57	CHN
KDT80146	SOC 11MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575801464	0.11	4.45	1.77	0.63	CHN
KDT80147	SOC 12MM 1/4D 6PT DP	3.23	4.97	5.92			1	99575811470	0.13	4.45	1.77	0.67	CHN
